  	190254170
\x0A\x09	17764377
\x09\x09	14055250
in	12735777
e 	11766807
00	11626987
de	11127720
;\x0A	9108112
, 	8823991
 0	7931977
ne	7899162
0x	7876427
re	7852667
st	7129434
t 	7035285
_C	7025918
fi	6850834
ef	6380199
_S	6325118
\x0A#	6257600
 *	6158134
__	5775876
#d	5651092
= 	5580363
er	4988886
at	4924742
 =	4812028
E_	4586226
_M	4547856
tr	4490008
_D	4455816
\x0A\x0A	4426074
,\x0A	4339268
nt	4337989
_R	4305117
->	4287670
et	4212374
_P	4120110
te	4107805
T_	4074256
);	3924399
ct	3811657
0_	3752082
ta	3666125
MA	3631483
se	3567562
on	3562287
x0	3552147
en	3528790
 i	3303172
C_	3297388
* 	3222863
 t	3210123
 s	3198997
AS	3172994
ER	3140543
IN	3128175
es	3098662
s 	3060128
G_	3039151
IF	3022781
ti	3019638
RE	2989612
or	2983922
R_	2972857
le	2966832
_E	2935427
d 	2923106
NT	2887709
\x0A 	2849751
ev	2838847
ru	2828163
L_	2825194
t_	2807598
co	2763121
S_	2743175
n 	2684988
_A	2656947
 (	2649349
uc	2601321
1_	2597161
_I	2574132
e_	2568308
_s	2520114
 c	2487374
DE	2470746
ST	2455521
AT	2412874
th	2396617
f 	2391764
if	2386465
2_	2382571
P_	2370625
D_	2367442
ed	2366415
ON	2355069
it	2354281
_c	2352966
ri	2338779
SE	2334613
al	2334445
EN	2295235
ic	2278066
)\x0A	2275715
r 	2271236
he	2249286
ar	2243069
 r	2228158
X_	2223942
ma	2217777
 a	2207802
CO	2206688
N_	2157872
SK	2143305
_d	2141179
{\x0A	2134923
an	2131838
SH	2105246
HI	2089195
\x09 	2082493
_L	2057470
T 	2033191
\x09i	2019822
TE	2002418
_p	1991210
lo	1979625
is	1970631
to	1966937
as	1961564
M_	1960483
_T	1953001
nd	1931307
io	1925559
FT	1903524
ur	1899013
TA	1897132
AN	1896231
 "	1882299
si	1881301
id	1880387
ad	1871495
PC	1867210
