   	182997513
000	7583023
\x0A\x09\x09	7390115
 0X	6446264
INE	6176934
DEF	6147119
FIN	5868245
NE 	5842899
EFI	5812847
#DE	5650735
\x0A#D	5634177
\x09\x09\x09	5470857
;\x0A\x09	5436180
 = 	4410426
);\x0A	3857803
  0	3816730
,\x0A\x09	3524642
0X0	3496053
DEV	3266734
STA	3106011
STR	3032893
_MA	2989256
_RE	2739094
INT	2656837
TRU	2593443
TAT	2528462
UCT	2475857
\x0A\x0A\x09	2472163
;\x0A\x0A	2468210
MAS	2464819
CT 	2460395
RUC	2453895
ASK	2443248
CON	2358074
_DE	2298196
X00	2215787
_CO	2155064
_IN	2109824
REG	2094475
_SH	2031462
{\x0A\x09	2022398
, 0	1994357
__S	1964655
RET	1940239
_ST	1930201
 * 	1891369
SHI	1843265
HIF	1835563
IFT	1834080
 RE	1822584
TER	1818436
SK 	1798194
 TH	1790956
\x0A *	1787355
 IN	1738560
FT 	1734811
ION	1728845
IF 	1726176
ATE	1700657
T  	1698729
ENT	1689998
*/\x0A	1684582
 */	1644882
RES	1634545
DAT	1541109
THE	1528130
K  	1506962
F (	1501364
ERR	1493723
ER_	1488648
\x09RE	1484411
\x09IF	1442213
SET	1437132
ATI	1435034
\x0A\x09I	1434826
_EN	1419477
ODE	1415929
NT 	1405676
TUR	1403979
 {\x0A	1368955
ING	1362567
\x09\x09 	1361095
LOC	1333082
ATA	1307984
ED 	1307317
ET_	1292898
/* 	1292692
_DI	1290785
E D	1283417
ETU	1281503
_SE	1264555
FFF	1248654
URN	1238613
TIO	1235275
***	1217769
 CO	1212611
HE 	1202668
ASE	1201038
REA	1176586
BLE	1171787
L\x0A#	1170287
\x0A\x09S	1147622
LAN	1129129
NTE	1113606
RN 	1102446
 ST	1100285
OCK	1090541
\x09  	1090535
NTR	1062445
}\x0A\x0A	1061097
ABL	1051220
\x0A  	1048815
0\x0A#	1048298
0, 	1046672
VAL	1035459
0X1	1030928
ADD	1026705
_RA	1018768
)\x0A\x09	1014919
PER	1010214
ONT	1010190
LIN	1006285
ANE	1004498
CNT	992318
TE_	991578
_CR	989700
TIC	984676
IG_	981045
FOR	980877
IZE	978892
ST_	967242
\x0AST	965875
/\x0A\x09	944067
