 	832295
e	453667
t	317999
o	308372
a	268649
h	240472
s	239472
n	238936
r	231260
i	220466
\x0A	196390
l	161194
d	147025
u	126304
m	104119
,	94721
y	92630
.	91384
w	79783
f	75613
c	74573
g	63207
I	51676
p	51553
b	51170
A	43538
T	38290
v	37406
E	34077
k	32546
S	29596
’	26344
O	25902
N	23513
R	22562
L	20481
C	17886
H	16710
W	16688
M	14220
B	13189
;	12920
D	12811
U	11531
?	11396
F	10844
P	10396
G	9969
_	9702
!	7806
Y	7161
K	5456
x	5093
[	4256
]	4254
-	3907
:	3427
V	3137
j	3068
q	2820
—	2505
J	1960
z	1248
“	1243
Q	1191
”	1070
Z	548
‘	373
X	338
1	309
(	234
)	234
2	182
4	157
0	155
8	148
6	147
3	108
5	98
9	93
7	81
æ	65
™	57
&	48
é	44
è	38
ç	33
Ç	19
*	18
œ	17
à	14
É	9
Æ	6
ê	6
/	6
\x09	4
ë	4
À	4
•	4
…	3
â	2
î	2
$	2
﻿	1
#	1
'	1
%	1
