E 	132002
TH	122904
 T	114461
HE	92134
T 	78816
S 	75288
 A	73189
.\x0A	70416
, 	68354
D 	68128
AN	65781
ER	62989
 S	62040
OU	59762
 H	58470
IN	58355
 I	55138
 M	52612
R 	52019
 W	51544
RE	48741
ND	48058
HA	47355
Y 	46057
N 	44300
EN	43467
\x0A\x0A	42452
OR	42126
 B	40412
AT	39776
 O	39014
O 	38727
IS	38500
AR	37546
ES	35865
ON	35574
ST	35011
HI	34978
 F	33531
LL	32869
TO	32336
IT	31819
EA	30084
ME	30005
 C	29648
VE	28643
SE	28362
NO	27982
 D	27648
 L	27554
LE	26640
HO	26563
TE	26263
NG	26047
,\x0A	25716
L 	25551
UR	25051
 P	24591
 N	24591
H 	24590
F 	24407
AL	24362
YO	24320
 Y	24005
NT	23225
NE	23026
AS	22329
BE	21876
OF	21525
WI	20913
I 	20476
US	20423
LO	20411
RO	20363
OT	20006
ED	19748
MA	19734
\x0AT	19536
CE	19240
 G	18958
EE	18735
EL	18683
OW	18641
RI	18587
FO	18292
WH	18170
DE	18006
E,	17992
CO	17827
\x0AA	17823
OM	17562
SH	17349
TI	17132
CH	17112
ET	17047
A 	16724
IL	16602
U 	16365
LI	16075
WE	15816
. 	15564
RA	14798
SO	14668
 E	14628
UT	14532
E.	14423
LA	14292
MY	14222
  	13973
S.	13657
SI	13538
 R	13527
IR	13499
G 	13102
OO	12980
S,	12861
RD	12792
RS	12490
RT	12390
UN	12220
M 	12211
AI	12133
\x0AW	12102
DO	12068
AY	12063
KE	11926
AV	11669
TA	11604
LD	11511
MO	11392
TR	11345
\x0AI	11331
CA	11200
PE	11126
SS	11096
IE	11079
OL	10975
AD	10962
UL	10890
IM	10847
IC	10816
DI	10527
GE	10428
AM	10357
NC	10270
GH	10225
IO	10171
WO	10048
WA	9975
PR	9889
’S	9848
\x0AS	9803
BU	9537
GO	9420
AC	9353
D,	9223
EM	9116
SA	8994
T,	8908
NS	8833
T.	8792
OS	8619
W 	8574
PA	8490
FA	8446
MI	8384
 U	8336
?\x0A	8138
 K	8112
PO	7999
\x0AB	7824
OD	7780
\x0AH	7740
ID	7730
Y,	7598
FE	7528
IG	7451
N.	7442
; 	7413
D.	7384
R,	7302
AK	7270
LY	7111
R.	7007
NI	6975
HY	6947
HT	6941
E\x0A	6936
IF	6901
K 	6888
SU	6840
N,	6618
FR	6523
KI	6499
UC	6402
DS	6385
RY	6382
FI	6330
\x0AM	6329
IV	6267
BL	6188
BO	6131
OV	6126
EC	6123
NA	6121
EI	6051
SP	6008
BR	5985
GR	5960
VI	5956
EV	5939
EY	5925
\x0AC	5872
\x0AF	5798
\x0A 	5745
\x0AO	5732
RU	5682
IA	5675
DA	5669
CK	5651
AG	5584
TS	5564
O.	5514
;\x0A	5465
Y.	5365
UE	5341
 V	5294
TU	5209
’D	5178
BA	5117
YE	5021
PL	4828
\x0AP	4823
GA	4703
TT	4692
BY	4619
UG	4593
TY	4472
S\x0A	4418
SC	4406
AU	4395
MU	4351
EP	4319
O,	4303
EX	4299
\x0AL	4255
CT	4245
RN	4223
RR	4193
EF	4176
!\x0A	4174
UP	4173
[_	4166
FF	4083
\x0AN	4018
TL	4015
QU	4011
KN	3996
AP	3915
\x0AD	3893
CL	3862
WN	3860
PI	3808
LS	3740
MP	3722
._	3696
A.	3647
CI	3635
GI	3532
_]	3531
AB	3513
DR	3511
HU	3511
T\x0A	3440
E’	3438
D\x0A	3431
CR	3403
L,	3343
SW	3326
LU	3297
\x0AE	3281
OP	3266
\x0AY	3260
’T	3258
! 	3230
]\x0A	3227
P 	3202
NK	3189
NY	3130
CU	3080
UM	3072
? 	3056
DU	3049
RM	3041
AW	3016
H,	3012
 J	2990
EW	2972
\x0AG	2959
RC	2956
OK	2890
LF	2763
L.	2739
\x0A[	2734
’ 	2709
IU	2704
LT	2697
IK	2692
’L	2675
PU	2651
RL	2650
E;	2646
GU	2639
DY	2608
YS	2597
MB	2587
FU	2564
VA	2556
AF	2535
GL	2466
UI	2404
I’	2399
E?	2383
N\x0A	2358
OB	2339
FL	2333
OI	2330
PP	2328
H.	2328
M,	2315
R’	2311
NN	2298
M.	2293
HR	2289
BI	2255
R\x0A	2231
OC	2209
TW	2199
PH	2193
RG	2188
 ’	2181
\x0AR	2104
RV	2092
RK	2068
UD	2061
_E	2059
FT	2053
 Q	2032
\x0AK	2025
IP	2020
EO	1997
U,	1991
SL	1991
EU	1971
EG	1964
W,	1952
N’	1950
MS	1947
G.	1947
Y\x0A	1943
G,	1933
VO	1905
KS	1886
GS	1829
OY	1826
: 	1823
S;	1814
K,	1803
T’	1797
WS	1745
K.	1722
H’	1680
OA	1650
PT	1593
JU	1589
XE	1577
:\x0A	1556
E!	1555
TC	1518
 [	1516
S’	1511
UB	1506
OE	1499
JO	1470
WR	1457
O’	1411
MM	1370
S?	1360
I.	1356
NU	1351
T;	1347
NF	1318
’E	1318
JE	1310
UK	1308
II	1301
UA	1297
D;	1269
F.	1256
W.	1201
XI	1192
T?	1174
OG	1145
GN	1132
DL	1124
H\x0A	1106
—\x0A	1102
\x0AU	1101
LK	1084
S!	1076
LV	1074
R;	1067
PS	1060
NL	1052
A,	1032
D?	1025
] 	1020
U.	1017
L\x0A	1015
IB	989
R?	989
N;	972
AE	962
UF	962
RF	947
DG	928
RP	922
SM	914
F,	913
ZE	900
D’	893
N?	892
L’	882
NR	881
CY	880
Y’	856
DD	848
EB	839
CC	821
\x0AV	805
RB	801
Y;	770
 “	767
SB	765
\x0A’	759
HN	752
IZ	745
SK	744
EH	742
LP	742
SY	736
HS	735
E-	730
O\x0A	728
RW	721
EK	718
E:	711
.]	705
F\x0A	702
LC	699
_.	693
YI	689
T!	687
K’	661
Y?	661
XT	658
P,	658
G\x0A	655
D!	654
NV	649
JA	638
M\x0A	638
BS	636
N!	628
YR	617
LM	615
\x0AQ	606
_T	605
OH	599
\x0AJ	599
I\x0A	597
XC	582
MN	580
W\x0A	576
P.	573
GG	565
Y!	559
R!	543
DW	542
A\x0A	539
_A	534
ML	527
L;	524
YM	515
V’	515
KL	515
K\x0A	497
IX	495
S:	495
SD	494
M’	491
” 	489
G’	487
PY	481
YA	476
O?	475
.—	468
DV	463
\x0A“	450
BT	447
KA	441
O!	440
W’	436
AJ	435
DN	435
C 	433
BB	431
U\x0A	428
UO	424
LB	424
EQ	423
R-	423
DM	417
-B	400
M;	400
T-	394
XP	394
TN	394
’R	393
,—	385
I,	385
VY	385
O;	383
-S	380
WL	380
T:	370
U?	369
 _	368
H;	367
”\x0A	366
AZ	363
AH	362
L-	361
U’	361
V.	357
G;	349
A’	347
M?	344
NJ	340
NQ	334
D:	333
_\x0A	333
ZA	333
YT	329
MF	329
B 	314
HM	313
L!	307
NW	306
D-	301
L?	300
\x0A_	300
.”	299
R:	297
P’	293
-H	291
CB	288
_S	288
W?	284
NM	281
NB	275
BJ	272
OX	270
AX	268
G?	264
-C	258
-F	256
GB	254
P\x0A	253
SN	250
NH	250
E_	249
X 	248
N-	247
 ‘	245
-L	244
E—	244
-D	243
N:	241
WD	241
TM	240
XA	239
H?	239
H!	235
GT	232
DF	231
-T	226
-W	224
Y-	217
HL	214
,”	209
RH	207
GM	207
Y:	203
S_	202
HB	201
-P	199
-M	196
SF	194
FY	191
-A	189
G-	189
YL	187
K;	186
SG	182
M!	180
H-	179
S—	179
-E	176
U;	175
X.	175
A!	173
A-	172
—T	171
K!	171
W;	170
NZ	170
TF	169
K?	169
“T	168
LR	167
OJ	166
 1	163
’N	163
FS	162
C.	160
!—	160
YP	160
HF	158
_ 	156
F;	156
V\x0A	155
—W	153
!”	150
OZ	150
 (	144
ZO	141
G!	141
’G	139
GD	139
_H	139
—A	137
’\x0A	135
CQ	135
AQ	134
D—	134
W!	134
C’	132
UY	131
_W	131
W-	130
-G	129
F?	128
\x0A‘	125
-R	124
) 	123
KO	122
T—	122
A?	122
_,	122
“A	121
K-	121
L:	120
T_	119
R—	118
SQ	117
GY	117
_D	117
CD	117
_R	116
YC	115
NP	114
.’	114
U!	114
S-	114
B,	112
F-	108
P;	108
“W	108
YB	108
KY	106
—I	105
N—	104
F’	103
AA	102
O:	99
A;	98
’A	97
WF	96
H:	92
M:	92
TZ	92
_K	90
—O	89
_L	88
\x0A(	87
C,	86
—H	86
G:	85
X,	85
“I	85
LW	84
P?	83
_P	83
_F	82
B’	81
HW	80
?—	80
WB	79
LG	77
IQ	77
BH	77
“H	76
_C	75
—B	75
LN	74
_G	74
“S	74
P!	73
F!	73
R_	73
YN	72
RQ	72
P-	71
Y—	71
)\x0A	70
_M	70
—S	69
4\x0A	68
6\x0A	68
EZ	68
8\x0A	67
0\x0A	67
U:	67
N_	67
2\x0A	66
-O	66
KF	66
B.	66
_I	66
RJ	65
AO	65
EJ	63
YW	62
 Z	62
’C	62
“G	61
“O	61
Z.	61
—M	60
VU	59
-N	59
X’	59
ZI	58
Z’	58
XF	58
_B	57
G™	57
—C	56
?”	56
O-	55
’O	55
”.	55
ZZ	55
“B	55
“F	55
“L	54
E”	54
HD	54
